Settings,Initial balance,Net profit,End balance,Average winrate(%),Total gross profit,Total gross loss,Profit factor,Annual ROI(%),Total ROI(%),Total trades,Max DD
"{'evz_treshold': 6.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': True}",10000.0,2091.39,12091.39,48.06,9508.59,-7417.2,1.28,4.18,20.91,414,8.27
"{'evz_treshold': 6.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': False}",10000.0,558.74,10558.74,49.01,4325.78,-3767.04,1.15,1.12,5.59,215,4.2
"{'evz_treshold': 6.0, 'RiskPercent': 1.0, 'scaleOut': True}",10000.0,2588.58,12588.58,48.06,11931.63,-9343.05,1.28,5.18,25.89,414,10.56
"{'evz_treshold': 6.0, 'RiskPercent': 1.0, 'scaleOut': False}",10000.0,802.07,10802.07,49.01,5465.54,-4663.47,1.17,1.6,8.02,215,5.17
"{'evz_treshold': 6.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': True}",10000.0,3244.44,13244.44,48.06,14482.1,-11237.66,1.29,6.49,32.44,414,13.36
"{'evz_treshold': 6.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': False}",10000.0,1031.8,11031.8,49.01,6612.28,-5580.48,1.18,2.06,10.32,215,6.4
"{'evz_treshold': 6.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': True}",10000.0,3746.07,13746.07,48.06,16944.47,-13198.4,1.28,7.49,37.46,414,15.41
"{'evz_treshold': 6.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': False}",10000.0,1106.76,11106.76,49.01,7677.18,-6570.42,1.17,2.21,11.07,215,7.35
"{'evz_treshold': 6.0, 'RiskPercent': 1.6, 'scaleOut': True}",10000.0,4216.41,14216.41,48.06,19288.29,-15071.88,1.28,8.43,42.16,414,16.87
"{'evz_treshold': 6.0, 'RiskPercent': 1.6, 'scaleOut': False}",10000.0,1259.08,11259.08,49.01,8759.61,-7500.53,1.17,2.52,12.59,215,8.4
"{'evz_treshold': 6.0, 'RiskPercent': 1.8, 'scaleOut': True}",10000.0,4876.18,14876.18,48.06,21880.76,-17004.58,1.29,9.75,48.76,414,19.77
"{'evz_treshold': 6.0, 'RiskPercent': 1.8, 'scaleOut': False}",10000.0,1458.05,11458.05,49.01,9892.77,-8434.72,1.17,2.92,14.58,215,9.3
"{'evz_treshold': 6.0, 'RiskPercent': 2.0, 'scaleOut': True}",10000.0,5311.7,15311.7,48.06,24338.29,-19026.59,1.28,10.62,53.12,414,22.37
"{'evz_treshold': 6.0, 'RiskPercent': 2.0, 'scaleOut': False}",10000.0,1578.6,11578.6,49.01,11008.93,-9430.33,1.17,3.16,15.79,215,10.4
"{'evz_treshold': 8.0, 'RiskPercent': 0.6, 'scaleOut': True}",10000.0,582.07,10582.07,43.45,4282.67,-3700.6,1.16,1.16,5.82,270,4.93
"{'evz_treshold': 8.0, 'RiskPercent': 0.6, 'scaleOut': False}",10000.0,245.87,10245.87,44.64,2121.12,-1875.26,1.13,0.49,2.46,142,1.97
"{'evz_treshold': 8.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': True}",10000.0,747.83,10747.83,43.45,5711.68,-4963.85,1.15,1.5,7.48,270,6.5
"{'evz_treshold': 8.0, 'RiskPercent': 0.7999999999999999, 'scaleOut': False}",10000.0,264.55,10264.55,44.64,2794.89,-2530.34,1.1,0.53,2.65,142,2.6
"{'evz_treshold': 8.0, 'RiskPercent': 1.0, 'scaleOut': True}",10000.0,882.21,10882.21,43.45,7123.21,-6240.99,1.14,1.76,8.82,270,8.75
"{'evz_treshold': 8.0, 'RiskPercent': 1.0, 'scaleOut': False}",10000.0,367.83,10367.83,44.64,3489.91,-3122.07,1.12,0.74,3.68,142,3.1
"{'evz_treshold': 8.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': True}",10000.0,1181.02,11181.02,43.45,8599.21,-7418.19,1.16,2.36,11.81,270,10.23
"{'evz_treshold': 8.0, 'RiskPercent': 1.2000000000000002, 'scaleOut': False}",10000.0,500.89,10500.89,44.64,4214.67,-3713.78,1.13,1.0,5.01,142,3.8
"{'evz_treshold': 8.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': True}",10000.0,1287.97,11287.97,43.45,10001.78,-8713.8,1.15,2.58,12.88,270,11.29
"{'evz_treshold': 8.0, 'RiskPercent': 1.4000000000000001, 'scaleOut': False}",10000.0,533.41,10533.41,44.64,4917.41,-4384.0,1.12,1.07,5.33,142,4.5
"{'evz_treshold': 8.0, 'RiskPercent': 1.6, 'scaleOut': True}",10000.0,1436.92,11436.92,43.45,11381.51,-9944.59,1.14,2.87,14.37,270,13.4
"{'evz_treshold': 8.0, 'RiskPercent': 1.6, 'scaleOut': False}",10000.0,589.31,10589.31,44.64,5584.76,-4995.46,1.12,1.18,5.89,142,5.1
"{'evz_treshold': 8.0, 'RiskPercent': 1.8, 'scaleOut': True}",10000.0,1669.51,11669.51,43.45,12841.58,-11172.07,1.15,3.34,16.7,270,15.93
"{'evz_treshold': 8.0, 'RiskPercent': 1.8, 'scaleOut': False}",10000.0,715.59,10715.59,44.64,6313.45,-5597.87,1.13,1.43,7.16,142,5.8
"{'evz_treshold': 8.0, 'RiskPercent': 2.0, 'scaleOut': True}",10000.0,1807.15,11807.15,43.45,14277.18,-12470.03,1.14,3.61,18.07,270,17.2
"{'evz_treshold': 8.0, 'RiskPercent': 2.0, 'scaleOut': False}",10000.0,712.48,10712.48,44.64,7007.57,-6295.08,1.11,1.42,7.12,142,6.6
"{'evz_treshold': 2.0, 'RiskPercent': 0.6, 'scaleOut': True}",10000.0,431.87,10431.87,50.35,1739.61,-1307.74,1.33,4.32,4.32,106,3.29
